input_value,prediction,model_version,timestamp
5,10,v1,2026-01-27T14:29:34.258964
5,10,v1,2026-01-27T14:32:35.472349
3000,300.0,v1,2026-01-27T14:55:03.055524
3500,350.0,v1,2026-01-27T14:55:10.877668
1200.0,48.42,bengaluru_rf_v1,2026-01-27T17:58:30.974555
1400.0,80.24,bengaluru_rf_v1,2026-01-27T21:48:01.862516
1500.0,126.15,bengaluru_rf_v1,2026-01-27T21:48:29.254097
1500.0,130.31,bengaluru_rf_v1,2026-01-27T21:48:34.574609
1500.0,105.11,bengaluru_rf_v1,2026-01-27T21:48:40.853395
1500.0,105.11,bengaluru_rf_v1,2026-01-27T21:48:42.326255
1200.0,48.42,bengaluru_rf_v1,2026-01-27T21:58:25.978826
1250.0,75.22,bengaluru_rf_v1,2026-01-27T21:58:35.061398
1250.0,75.22,bengaluru_rf_v1,2026-01-27T21:58:35.825644
1200.0,48.42,bengaluru_rf_v1,2026-01-27T22:32:05.620430
1250.0,53.79,bengaluru_rf_v1,2026-01-27T22:32:14.807559
1250.0,53.79,bengaluru_rf_v1,2026-01-27T22:32:16.799121
1250.0,53.79,bengaluru_rf_v1,2026-01-27T22:32:17.222072
1250.0,53.79,bengaluru_rf_v1,2026-01-27T22:32:17.577451
1300.0,72.12,bengaluru_rf_v1,2026-01-27T22:33:37.003211
1200.0,48.42,bengaluru_rf_v1,2026-01-28T10:01:19.132773
1700.0,109.32,bengaluru_rf_v1,2026-01-28T10:01:25.198925
2000.0,93.1,bengaluru_rf_v1,2026-01-28T10:01:43.568141
